,users_avg,prb_ul_usage_rate_avg,hsr_intra_freq,hsr_inter_freq,cell_throughput_dl_avg,user_throughput_ul_avg,tp_carrier_aggr,carrier_aggr_usage,cqi_avg,traffic_volume_data,user_throughput_dl_avg,cell_throughput_ul_avg,prb_dl_usage_rate_avg,daytime
2850,28.725,30.14243833,100,100,12308.99236,6547.871141,22746.54392,13.59675291,7.720195519,3578.116375,8441.436337,7982.834411,52.81675722,1
2851,23.46527778,24.28364056,100,100,10846.72107,8187.518626,17135.01447,3.266719177,7.934294283,4409.0145,6084.056576,6945.541524,86.06935278,1
3098,31.81944444,43.130785,100,100,10860.49402,8321.994756,23968.75541,18.64337112,8.056302066,3156.842875,10882.8808,8297.081583,42.57621889,1
3928,35.04305556,6.665934444,100,100,37887.51594,4156.513989,25991.80058,33.41957612,9.040907637,2350.243125,42256.28392,2703.313659,19.06210667,0
4000,22.19305556,9.371667222,100,100,5879.070066,4085.356894,15618.12211,4.993008731,11.36233951,526.05625,14380.12629,11053.55595,5.392733889,0
4069,26.21388889,58.70647778,100,100,17327.30095,4536.364955,28569.02267,4.379827458,9.327184543,3206.891375,23990.61955,5338.861485,26.53019167,0
4431,27.39027778,18.47591167,100,100,5198.19669,3976.442361,28483.56821,16.2241229,9.735492583,725.763125,16270.50635,10245.09637,11.01617778,0
4432,27.95694444,16.33155611,100,100,10025.17159,4780.022268,26663.9546,11.18110342,9.75597377,1654.178375,19635.43125,9857.467522,17.98941944,0
4718,32.175,16.56253722,100,100,12382.43809,5007.77859,18241.2908,0.915683794,8.664226259,2172.243375,14218.95347,8178.260363,27.10831222,0
5175,20.26805556,2.575232222,100,100,9278.408436,10619.04151,18743.04808,10.0600644,10.60799424,734.081,15348.95903,2255.312356,6.69185,0
5264,26.20416667,22.71829667,100,80,31003.88258,1207.455233,23702.24261,48.88244566,8.072734957,13180.87438,12478.99115,1212.98653,89.43613556,0
5266,20.6,26.62891444,100,100,36053.24682,826.3286494,36259.5836,79.20894405,8.588195343,14966.96913,30616.87001,925.3184368,84.43380722,0
